words,kind,gender
Stephen Norman,person,male
Marjorie,person,female
Susan,person,female
Harold,person,male
Stephen,person,male
Margaret Rowly,person,female
Norman,person,male
Laetitia Rowly,person,female
Henry,person,male
Leonard,person,male
Margaret Norman,person,female
Laetitia,person,female
Eden,person,female
Auntie,person,female
Martin,person,male
Mr Leonard,person,male
John Robinson,person,male
Mr Everard,person,male
Andrew Stonehouse,person,male
Mr Stonehouse,person,male
Earl de Lannoy,person,male
Joe,person,male
Jack,person,male
Mr Hepburn,person,male
Robinson,person,male
Mr Hilton,person,male
Mr Robinson,person,male
Dr Hilton,person,male
Gilbert,person,male
Lord,person,male
Mr Malcolm Ross,person,male
Malcolm Ross,person,male
Trelawny,person,male
Dolan,person,male
Mrs Grant,person,female
Mr Ross,person,male
Doctor Winchester,person,male
Johnny Wright,person,male
Mr Marvin,person,male
Grant,person,male
Nurse Kennedy,person,female
Doris,person,male
Morrison,person,male
Richardson,person,male
James Frere,person,male
James,person,male
Ross,person,male
Jane,person,female
Eugene Corbeck,person,male
Margaret,person,female
Mr Corbeck,person,male
John Greaves,person,male
Margaret Trelawny,person,male
Mr Trelawny,person,male
Mark,person,male
Shelley,person,female
John Herschel,person,male
Milton,person,male
Ray,person,male
Adam,person,male
William Crooks,person,male
William Ramsay,person,male
Jonathan Harker,person,male
Mr Hawkins,person,male
Peter Hawkins,person,male
Harker Jonathan,person,male
Samuel F Billington,person,male
Shakespeare,person,male
Lucy,person,female
Arthur,person,male
Jonathan,person,male
John Seward,person,male
Dr Seward,person,male
Jack Seward,person,male
Andres,person,male
Andrew Woodhouse,person,male
John Paxton,person,male
John Rawlings,person,male
George Canon,person,male
Arthur Holmwood,person,male
Lord Godalming,person,male
Robin Hood,person,male
Joseph,person,male
Mary,person,female
Jack Sheppard,person,male
Sister Agatha,person,female
Miss Murray,person,female
Thomas Bilder,person,male
Thomas,person,male
Tom,person,male
Hardy,person,male
Jack Smollet,person,male
George,person,male
Thomas Snelling,person,male
Peter Farley,person,male
Patrick Hennessey,person,male
Hawkins,person,male
Mr Marquand,person,male
Mrs Westenra,person,female
Ellen Terry,person,male
Lucy Westenra,person,female
Mina Murray,person,female
Mrs Harker,person,female
Joseph Smollet,person,male
Sam Bloxam,person,male
Sam,person,male
Mitchell,person,male
Madam Mina,person,female
Mina,person,female
Lord Arthur,person,male
Morris,person,male
Lloyd,person,male
Catherine,person,female
Hans Andersen,person,male
Mr Morris,person,male
Richard Salton,person,male
William,person,male
Edgar Caswall,person,male
Edgar,person,male
Nathaniel,person,male
Mr Salton,person,male
Adam Salton,person,male
Diana,person,female
Michael Watford,person,male
Castra Regis,person,male
Ezra,person,female
Simon Chester,person,male
Simon,person,male
Thomas Brown,person,male
Mr Graves,person,male
Lillashe,person,female
Mrs Salton,person,female
Lilla Watford,person,female
Miss Ogilvie,person,female
Judy,person,female
Ogilvie,person,female
Judith Hayes,person,female
Hayes,person,female
Judith,person,female
Mrs rien,person,female
Earl,person,male
Lord Liftinant,person,male
Aunt,person,female
Lord AthlyneWhat,person,female
Miss Judy,person,female
Robert Baron,person,male
Robert,person,male
Mrs Ogilvie,person,female
Lord Athlyne,person,male
Aunt Judy,person,female
Sally,person,female
Joy Ogilvie,person,female
Richard Hardy,person,male
Halloran,person,male
Mr Hardy,person,male
Sarah,person,male
Jonathan Goldsworth,person,male
Miss Hayes,person,female
Ken Brig,person,male
Newton Stewart,person,male
Walter Scott,person,male
Jamie Macpherson,person,male
Walter,person,male
Scott,person,male
Ross Shire,person,male
Mr Sheriff,person,male
Alexander Fenwick,person,male
Gretna Green,person,female
Judith Hayesthe Sheriff,person,female
Jane McBean,person,male
Lord Athlynethe Earl,person,male
Lord Brougham,person,male
Joy Fitzgerald,person,female
Hayes Ogilvie,person,female
Joan,person,female
