author,title,words,kind,gender,total
Mary Shelley,frankenstein,Adam,person,male,1
Mary Shelley,frankenstein,Arthur,person,male,3.5
Mary Shelley,frankenstein,Blanc,person,male,1.2
Mary Shelley,frankenstein,Caroline,person,female,-4
Mary Shelley,frankenstein,Caroline Beaufort,person,female,-4
Mary Shelley,frankenstein,Clerval,person,male,0.2857142857142857
Mary Shelley,frankenstein,Daniel,person,male,1.5
Mary Shelley,frankenstein,De Lacey,person,male,1.5714285714285714
Mary Shelley,frankenstein,Earl,person,male,-0.04
Mary Shelley,frankenstein,Elizabeth,person,female,0.9876543209876543
Mary Shelley,frankenstein,Elizabeth Lavenza,person,female,4
Mary Shelley,frankenstein,Ernest,person,male,-0.8333333333333334
Mary Shelley,frankenstein,Felix,person,male,0.8095238095238095
Mary Shelley,frankenstein,Henry,person,male,-1.0434782608695652
Mary Shelley,frankenstein,Isaac Newton,person,male,3
Mary Shelley,frankenstein,John,person,male,9
Mary Shelley,frankenstein,John Melbourne,person,male,9
Mary Shelley,frankenstein,July,person,female,0.5
Mary Shelley,frankenstein,Justine,person,male,-1.5116279069767442
Mary Shelley,frankenstein,Lord,person,male,-1
Mary Shelley,frankenstein,Louis Manoir,person,male,-2
Mary Shelley,frankenstein,M Waldman,person,male,2.625
Mary Shelley,frankenstein,Margaret,person,female,1.7777777777777777
Mary Shelley,frankenstein,Mark,person,male,0.5172413793103449
Mary Shelley,frankenstein,May,person,female,0.9310344827586207
Mary Shelley,frankenstein,Miss,person,female,1.0714285714285714
Mary Shelley,frankenstein,Muhammad,person,male,0.5
Mary Shelley,frankenstein,R Walton,person,male,1
Mary Shelley,frankenstein,Safie,person,female,1.0909090909090908
Mary Shelley,frankenstein,Thomas,person,male,2
Mary Shelley,frankenstein,Victor,person,male,1.9333333333333333
Mary Shelley,frankenstein,Will,person,male,0.4157303370786517
Mary Shelley,frankenstein,William,person,male,-1.173913043478261
Mary Shelley,frankenstein,NA,NA,NA,0.05051408135896289
Mary Shelley,"lodore, Vol. 1 (of 3)",Adam,person,male,6
Mary Shelley,"lodore, Vol. 1 (of 3)",Aunt Bessy,person,female,5
Mary Shelley,"lodore, Vol. 1 (of 3)",Bessy,person,female,5
