author,title,words,kind,gender,total
Robert Louis Stevenson,catriona,Adam,person,male,-0.5
Robert Louis Stevenson,catriona,Alan,person,male,0.95
Robert Louis Stevenson,catriona,Alan Breck,person,male,-0.875
Robert Louis Stevenson,catriona,Alan Grigor,person,male,6
Robert Louis Stevenson,catriona,Alan Ramsay,person,male,2
Robert Louis Stevenson,catriona,Alexander,person,male,-1
Robert Louis Stevenson,catriona,Arthur,person,male,2
Robert Louis Stevenson,catriona,Baith,person,male,2
Robert Louis Stevenson,catriona,Barbara,person,female,3.4444444444444446
Robert Louis Stevenson,catriona,Barbara Balfour,person,female,3
Robert Louis Stevenson,catriona,Barbara Grant,person,female,4
Robert Louis Stevenson,catriona,Bush,person,male,0.5
Robert Louis Stevenson,catriona,Campbell,person,male,2.0434782608695654
Robert Louis Stevenson,catriona,Captain,person,male,1.4230769230769231
Robert Louis Stevenson,catriona,Charles,person,male,4.2
Robert Louis Stevenson,catriona,Charles Stewart,person,male,4.2
Robert Louis Stevenson,catriona,Charlie,person,male,-0.125
Robert Louis Stevenson,catriona,Charlie Stewart,person,male,-2
Robert Louis Stevenson,catriona,Christian,person,male,1
Robert Louis Stevenson,catriona,Clara,person,female,0.5
Robert Louis Stevenson,catriona,Cluny,person,male,0.5
Robert Louis Stevenson,catriona,Colin Campbell,person,male,0
Robert Louis Stevenson,catriona,Dale,person,male,1.5833333333333333
Robert Louis Stevenson,catriona,David,person,male,0.1746031746031746
Robert Louis Stevenson,catriona,David Balfour,person,male,-3.9
Robert Louis Stevenson,catriona,Davie,person,male,0.9393939393939394
Robert Louis Stevenson,catriona,Dean,person,male,1.1111111111111112
Robert Louis Stevenson,catriona,Drummond,person,male,1.96875
Robert Louis Stevenson,catriona,Duncan,person,male,0.07692307692307693
Robert Louis Stevenson,catriona,Duncan Dhu,person,male,2
Robert Louis Stevenson,catriona,Ebenezer,person,male,3
Robert Louis Stevenson,catriona,Frank,person,male,1.4
Robert Louis Stevenson,catriona,Fraser,person,male,0.5625
Robert Louis Stevenson,catriona,George,person,male,3.888888888888889
Robert Louis Stevenson,catriona,Glenure,person,male,1.5
Robert Louis Stevenson,catriona,Grant,person,male,2.8688524590163933
Robert Louis Stevenson,catriona,James,person,male,1.1265822784810127
Robert Louis Stevenson,catriona,James Drummond,person,male,6
Robert Louis Stevenson,catriona,James More,person,male,0.9333333333333333
Robert Louis Stevenson,catriona,James Stewart,person,male,4
Robert Louis Stevenson,catriona,Jean,person,male,-2
Robert Louis Stevenson,catriona,John,person,male,0.5
Robert Louis Stevenson,catriona,Kay,person,male,-2
Robert Louis Stevenson,catriona,King James,person,male,9
Robert Louis Stevenson,catriona,Lord,person,male,0.9042553191489362
Robert Louis Stevenson,catriona,Lord Advocate,person,male,1.25
Robert Louis Stevenson,catriona,Lord Advocate Grant,person,male,6.5
Robert Louis Stevenson,catriona,Lord Holderness,person,male,4
Robert Louis Stevenson,catriona,Lord Justi,person,male,1
Robert Louis Stevenson,catriona,Lord Lovat,person,male,-27
Robert Louis Stevenson,catriona,Lord Melfort,person,male,6
Robert Louis Stevenson,catriona,Mally Lee,person,female,-2
Robert Louis Stevenson,catriona,Miss Drummond,person,female,3.7
Robert Louis Stevenson,catriona,Miss Grant,person,female,3
Robert Louis Stevenson,catriona,Mistress Grant,person,female,0.5
Robert Louis Stevenson,catriona,Monsieur,person,male,-1
Robert Louis Stevenson,catriona,Mr Balfour,person,male,1.5348837209302326
Robert Louis Stevenson,catriona,Mr Campbell,person,male,7.5
Robert Louis Stevenson,catriona,Mr Dale,person,male,2
Robert Louis Stevenson,catriona,Mr David,person,male,-0.6875
Robert Louis Stevenson,catriona,Mr Davie,person,male,4
Robert Louis Stevenson,catriona,Mr Drummond,person,male,0.8571428571428571
Robert Louis Stevenson,catriona,Mr Henderland,person,male,3
Robert Louis Stevenson,catriona,Mr Hope,person,male,2
Robert Louis Stevenson,catriona,Mr Simon,person,male,-0.7
Robert Louis Stevenson,catriona,Mr Stewart,person,male,2.75
Robert Louis Stevenson,catriona,Mrs Campbell,person,female,6
Robert Louis Stevenson,catriona,Mrs Gebbie,person,female,0.3333333333333333
Robert Louis Stevenson,catriona,Mrs Ogilvy,person,female,3
Robert Louis Stevenson,catriona,Mungo Campbell,person,male,0
Robert Louis Stevenson,catriona,Neil,person,male,0.8
Robert Louis Stevenson,catriona,Neil Duncanson,person,male,3
Robert Louis Stevenson,catriona,Rob,person,male,-0.4090909090909091
Robert Louis Stevenson,catriona,Rob Roy,person,male,-10
Robert Louis Stevenson,catriona,Robbie,person,female,-2
Robert Louis Stevenson,catriona,Robert Macintosh,person,male,6
Robert Louis Stevenson,catriona,Robin,person,male,-2
Robert Louis Stevenson,catriona,Saint Margaret,person,female,1
Robert Louis Stevenson,catriona,Sheriff Miller,person,male,0
Robert Louis Stevenson,catriona,Simon,person,male,-1.25
Robert Louis Stevenson,catriona,Simon Fraser,person,male,0.2857142857142857
Robert Louis Stevenson,catriona,Solomon,person,male,0
Robert Louis Stevenson,catriona,Stewart,person,male,1.7580645161290323
Robert Louis Stevenson,catriona,Tam Dale,person,male,1.7142857142857142
Robert Louis Stevenson,catriona,Tibbie Ramsay,person,male,12
