author,title,words,kind,gender,total
Bram Stoker,dracula,Adam,person,male,3.155844155844156
Bram Stoker,dracula,Andres,person,male,1.5
Bram Stoker,dracula,Andrew Woodhouse,person,male,-12
Bram Stoker,dracula,Arthur,person,male,0.3883495145631068
Bram Stoker,dracula,Arthur Holmwood,person,male,1.375
Bram Stoker,dracula,Aunt,person,female,-1.125
Bram Stoker,dracula,Catherine,person,female,0.1
Bram Stoker,dracula,Dr Seward,person,male,0.7727272727272727
Bram Stoker,dracula,Earl,person,male,0.16666666666666666
Bram Stoker,dracula,Eden,person,female,0.5
Bram Stoker,dracula,Ellen Terry,person,male,-1
Bram Stoker,dracula,George,person,male,6
Bram Stoker,dracula,George Canon,person,male,0
Bram Stoker,dracula,Grant,person,male,1.75
Bram Stoker,dracula,Hans Andersen,person,male,-1
Bram Stoker,dracula,Hardy,person,male,0
Bram Stoker,dracula,Harker Jonathan,person,male,2
Bram Stoker,dracula,Hawkins,person,male,1.2173913043478262
Bram Stoker,dracula,Jack,person,male,1
Bram Stoker,dracula,Jack Seward,person,male,2
Bram Stoker,dracula,Jack Sheppard,person,male,0
Bram Stoker,dracula,Jack Smollet,person,male,12
Bram Stoker,dracula,John Paxton,person,male,-5
Bram Stoker,dracula,John Rawlings,person,male,-12
Bram Stoker,dracula,John Seward,person,male,-0.125
Bram Stoker,dracula,Jonathan,person,male,0.5639097744360902
Bram Stoker,dracula,Jonathan Harker,person,male,1.9090909090909092
Bram Stoker,dracula,Joseph,person,male,0
Bram Stoker,dracula,Joseph Smollet,person,male,0
Bram Stoker,dracula,Lloyd,person,male,-1.3333333333333333
Bram Stoker,dracula,Lord,person,male,1.3255813953488371
Bram Stoker,dracula,Lord Arthur,person,male,3
Bram Stoker,dracula,Lord Godalming,person,male,1.421875
Bram Stoker,dracula,Lucy,person,female,0.3157894736842105
Bram Stoker,dracula,Lucy Westenra,person,female,2.6666666666666665
Bram Stoker,dracula,Madam Mina,person,female,3.1470588235294117
Bram Stoker,dracula,Mark,person,male,0.6923076923076923
Bram Stoker,dracula,Mary,person,female,3.142857142857143
Bram Stoker,dracula,Mina,person,female,1.572192513368984
Bram Stoker,dracula,Mina Murray,person,female,2.4444444444444446
Bram Stoker,dracula,Miss Murray,person,female,4
Bram Stoker,dracula,Mitchell,person,male,0.8
